,Rental Car Location,Bar,Pharmacy,Sandwich Place,Mediterranean Restaurant,Coffee Shop,Event Space,Hotel,Jewelry Store,Grocery Store,Women's Store,Restaurant,Chiropractor,Pizza Place,Mexican Restaurant,Fried Chicken Joint,Salon / Barbershop,Donut Shop,Office,Other Great Outdoors,Hot Dog Joint,Indie Movie Theater,Diner,Dentist's Office,Clothing Store,Gym / Fitness Center,Metro Station,Scenic Lookout,Medical Center,Ramen Restaurant,Electronics Store,Bus Station,Playground,Athletics & Sports,Korean Restaurant,Bookstore,Tech Startup,Bike Rental / Bike Share,Wine Bar,Miscellaneous Shop,Thrift / Vintage Store,Music Venue,Historic Site,Martial Arts School,Comedy Club,Scandinavian Restaurant,Costume Shop,Bank,Other Nightlife,Record Shop,Taco Place,Bagel Shop,Nightclub,Real Estate Office,Ice Cream Shop,Boutique,Adult Boutique,Parking,Music Store,Video Game Store,Bakery,Residential Building (Apartment / Condo),Arts & Crafts Store,Spiritual Center,Cosmetics Shop,Dry Cleaner,Synagogue,Food Truck,Optical Shop,Building,Spa,Gift Shop,Plaza,Café,Hardware Store,Indian Restaurant,Newsstand,Lawyer,Kitchen Supply Store,Spanish Restaurant,Movie Theater,Private School,Massage Studio,Italian Restaurant,Fast Food Restaurant,Yoga Studio,Non-Profit,Salad Place,General College & University,Gym,Kids Store,Food,Pet Service,Urgent Care Center,Cafeteria,Hospital,Furniture / Home Store,Design Studio,Housing Development,Automotive Shop,Gas Station,Daycare,Juice Bar,American Restaurant,Recreation Center,Church,Convenience Store,High School,Storage Facility,Middle School,BBQ Joint,Baseball Field,Hobby Shop,Home Service,Elementary School,Nail Salon,Dumpling Restaurant,Trail,Moving Target,Vietnamese Restaurant,Doctor's Office,Pool,Sushi Restaurant,Laundry Service,Bed & Breakfast,College Academic Building,Sporting Goods Shop,Performing Arts Venue,Bus Line,Shoe Store,Eye Doctor,Cocktail Bar,Greek Restaurant,Veterinarian,Lingerie Store,Bus Stop,Monument / Landmark,Nightlife Spot,College Cafeteria,Seafood Restaurant,French Restaurant,Food Service,Planetarium,Japanese Restaurant,Burger Joint,Basketball Court,Frame Store,School,Rest Area,Liquor Store,Mobile Phone Shop,Video Store,Bike Shop,Pawn Shop,Chinese Restaurant,Discount Store,Boat or Ferry,Financial or Legal Service,Harbor / Marina,Lake,Venezuelan Restaurant,Outdoors & Recreation,Construction & Landscaping,Lounge,Latin American Restaurant,Student Center,Park,Coworking Space,Thai Restaurant,Wine Shop,Library,Deli / Bodega,Sports Bar,Flea Market,Shop & Service,Photography Studio,Snack Place,Business Service,Middle Eastern Restaurant,Art Gallery,Post Office,Big Box Store,Locksmith,Indonesian Restaurant,Vegetarian / Vegan Restaurant,Supermarket,General Entertainment,Courthouse,Recycling Facility,Fire Station,Print Shop,Assisted Living,Lighthouse,Brewery,Police Station,Hindu Temple,Tattoo Parlor,Wings Joint,College Bookstore,Pet Store,General Travel,Breakfast Spot,Beer Garden,College Administrative Building,Nursery School,College Library,College Auditorium,College Quad,Candy Store,College Lab,Volleyball Court,Caribbean Restaurant,Gay Bar,Speakeasy,Motel,Conference Room,Community College,Factory,Health & Beauty Service,Men's Store,Buffet,Theater,Convention Center,Check Cashing Service,Southern / Soul Food Restaurant,Accessories Store,Department Store,Dance Studio,Laundromat,Campaign Office,Dog Run,Dessert Shop,Professional & Other Places,Tennis Court,Insurance Office,Basketball Stadium,African Restaurant,Toy / Game Store,Driving School,Flower Shop,Cemetery,Football Stadium,Bridge,Smoke Shop,Garden,Tailor Shop,Tanning Salon,Beer Bar,Strip Club,Dive Bar,Comic Shop,Nutritionist,Food Court,Pool Hall,Mattress Store,Shopping Mall,Empanada Restaurant,Skating Rink,College Classroom,Comfort Food Restaurant,Arcade,Government Building,Golf Course,Physical Therapist,Resort,Field,Jazz Club,Cuban Restaurant,Casino,Tree,Farm,Track,College Basketball Court,Farmers Market,Language School,City Hall,Business Center,Photography Lab,Community Center,College Stadium,College Cricket Pitch,Acupuncturist,Car Wash,Modern European Restaurant,Adult Education Center,Fruit & Vegetable Store,Travel & Transport,Asian Restaurant,Boxing Gym,Supplement Shop,Auto Dealership,Karaoke Bar,Frozen Yogurt Shop,Research Station,EV Charging Station,Fabric Shop,Emergency Room,Multiplex,River,Military Base,Perfume Shop,Medical Lab,Bubble Tea Shop,Organic Grocery,Steakhouse,Warehouse,Public Bathroom,Bowling Alley,Market,Auto Workshop,ATM,Travel Lounge,Hookah Bar,Cupcake Shop,Motorcycle Shop,History Museum,Hunting Supply,Animal Shelter,Currency Exchange,Shopping Plaza,Winery,German Restaurant,Ski Lodge,New American Restaurant,Pub,Nature Preserve,Kingdom Hall,Tapas Restaurant,Watch Shop,Corporate Amenity,Roof Deck,Trade School,Pakistani Restaurant,Transportation Service,Cycle Studio,Noodle House,Antique Shop,Food & Drink Shop,Gastropub,Theme Park,University,Food Stand,Weight Loss Center,Auto Garage,Lighting Store,Funeral Home,Hostel,Hockey Field,Concert Hall,Shipping Store,Soccer Stadium,Preschool,College Football Field,College Technology Building,Ski Area,College Baseball Diamond,Stables,Bridal Shop,Travel Agency,Gourmet Shop,Butcher,Fraternity House,Public Art,Gaming Cafe,Gun Shop,Mental Health Office,Distribution Center,Other Repair Shop,Water Park,Astrologer,Paper / Office Supplies Store,Notary,Skate Park,Eastern European Restaurant,Mountain,Embassy / Consulate,Social Club,Outdoor Supply Store,Board Shop,Chocolate Shop,Campground,Soccer Field,Outdoor Gym,Swim School,College Theater,Turkish Restaurant,Voting Booth,Train Station,Mac & Cheese Joint,Indie Theater,Surf Spot,Recording Studio,Temple,Hotel Bar,College Arts Building,College Residence Hall,Vineyard,College Rec Center,Soup Place,Piano Bar,Bistro,Taiwanese Restaurant,Hunan Restaurant,Fish Market,Mosque,Camera Store,Alternative Healer,Souvlaki Shop,Caucasian Restaurant,Tourist Information Center,Fireworks Store,Museum,Szechuan Restaurant,Rental Service,Marijuana Dispensary,Poke Place,Music School,Street Art,Vape Store,Indoor Play Area,Sorority House,Persian Restaurant,Shrine,Art Studio,Halal Restaurant,Boarding House,Advertising Agency,Malay Restaurant,Event Service,Health Food Store,Rock Club,Cajun / Creole Restaurant,Peruvian Restaurant,Beach,Mini Golf,Meeting Room,Religious School,Well,Filipino Restaurant,Gluten-free Restaurant,Gym Pool,Cantonese Restaurant,Falafel Restaurant,Carpet Store,Film Studio,Credit Union,Summer Camp,Tiki Bar,Tea Room,Fair,Law School,Russian Restaurant,College Gym,Baggage Locker,Baby Store,Jewish Restaurant,Rock Climbing Spot,Smoothie Shop,Art Museum,Medical School,Arts & Entertainment,Light Rail Station,Maternity Clinic,Island,Cruise Ship,Hotel Pool,Port,Pop-Up Shop,Paintball Field,Garden Center,Skate Shop,Pilates Studio,Radio Station,Chaat Place,Picnic Area,College Tennis Court,Child Care Service,Paella Restaurant,Burrito Place,Street Food Gathering,Fish & Chips Shop,Forest,Warehouse Store,Auditorium,Exhibit,College Math Building,Theme Park Ride / Attraction,North Indian Restaurant,College Engineering Building,College Science Building,College Soccer Field,Escape Room,College Track,Baseball Stadium,Racetrack,Sculpture Garden,Apres Ski Bar,Used Auto Dealership,Ethiopian Restaurant,Boat Launch,Golf Driving Range,Veterans' Organization,Sports Club,Drugstore,Trailer Park,Sikh Temple,Hospital Ward,Rehab Center,Platform,Creperie,Capitol Building,Line / Queue,Research Laboratory,Airport Terminal,Gymnastics Gym,Monastery,Fishing Spot,South Indian Restaurant,Outlet Store,Wedding Hall,Outdoor Sculpture,IT Services,Romanian Restaurant,Zoo,Gun Range,Hot Spring,Amphitheater,College Communications Building,Airport,Shanghai Restaurant,Imported Food Shop,South American Restaurant,Buddhist Temple,Medical Supply Store,Tennis Stadium,Meadery,Other Event,Prison,RV Park,National Park,Arepa Restaurant,Zoo Exhibit,Bowling Green,Pier,Internet Cafe,Stadium,Prayer Room,Polish Restaurant,Argentinian Restaurant,Beer Store,Power Plant,Shoe Repair,Tex-Mex Restaurant,TV Station,Afghan Restaurant,Kosher Restaurant,Pedestrian Plaza,Memorial Site,Portuguese Restaurant,Donburi Restaurant,Hawaiian Restaurant,Udon Restaurant,Corporate Coffee Shop,Dive Shop,Rugby Pitch,Ballroom,Sausage Shop,Bike Trail,Whisky Bar,Brazilian Restaurant,Moroccan Restaurant,Entertainment Service,Cooking School,Go Kart Track,Motorsports Shop,Salvadoran Restaurant,Palace,Cultural Center,Bath House,Dim Sum Restaurant,Club House,Floating Market,Himalayan Restaurant,College & University,Disc Golf,Sake Bar,Recruiting Agency,Mongolian Restaurant,Fountain,State / Provincial Park,Airport Service,Distillery,Canal Lock,Border Crossing,Australian Restaurant,Waterfall,Betting Shop,Herbs & Spices Store,Fondue Restaurant,Ski Trail,Aquarium,Airport Tram,Laser Tag,Andhra Restaurant,Theme Restaurant,Cheese Shop,Industrial Estate,Cidery,College History Building,Town Hall,Christmas Market,Curling Ice,Shabu-Shabu Restaurant,Airport Food Court,Roller Rink,Inn,Toll Plaza,Hill,Castle,Conference,Circus School,Beach Bar,Track Stadium,Airport Lounge,Ski Shop,Pastry Shop,College Hockey Rink,Piercing Parlor,Vacation Rental,Cambodian Restaurant,Waste Facility,Pie Shop,Circus,Festival,Yemeni Restaurant,Tour Provider,Opera House,Hotpot Restaurant,Hockey Rink,Corporate Cafeteria,Outdoor Event Space,Heliport,Botanical Garden,Burmese Restaurant,Sauna / Steam Room,Truck Stop,Irish Pub,Souvenir Shop,Hospice,Flight School,Bay,Mobility Store,Knitting Store,Hockey Arena,Fishing Store,Canal,Outlet Mall,Colombian Restaurant,Science Museum,Korean BBQ Restaurant,Bosnian Restaurant,Airport Gate,Ski Chalet,Waterfront,Climbing Gym,Tunnel,Iraqi Restaurant,Used Bookstore,Leather Goods Store,Luggage Store,Reservoir,Kebab Restaurant,Belgian Restaurant,Cave,Stationery Store,Salsa Club,Dive Spot,Bathing Area,Lebanese Restaurant,Cable Car,Parade,Xinjiang Restaurant,Pet Café,Baggage Claim,Armenian Restaurant,Night Market,Boat Rental,Picnic Shelter,Puerto Rican Restaurant,Residence,Country Dance Club,Observatory,Vehicle Inspection Station,Honduran Restaurant,Cricket Ground,Peking Duck Restaurant,Soba Restaurant,Street Fair,Sri Lankan Restaurant,Poutine Place,Racecourse,zip_code,venue_count
1365,1.0,,1.0,,,2.0,,,,2.0,,,2.0,2.0,4.0,,2.0,,4.0,1.0,,,,2.0,,,,,1.0,,,,,1.0,,,,,,3.0,,,,1.0,,,,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,7.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80501,88
1366,,3.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80631,41
1367,,,1.0,1.0,,,,,,,,,,2.0,1.0,3.0,7.0,1.0,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,1.0,,,3.0,2.0,,,2.0,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,1.0,3.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90043,94
1368,,1.0,,,,1.0,2.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,1.0,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,2.0,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,2.0,2.0,1.0,,,,,5.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32566,80
1369,,2.0,,1.0,,,1.0,,,,,,,1.0,,,2.0,,4.0,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,3.0,1.0,,,,,,,1.0,1.0,,,,,,,,,8.0,2.0,,,,,,,4.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2.0,,,,,3.0,,,5.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11217,83
1370,,,,1.0,,,,2.0,,,,,1.0,2.0,1.0,,1.0,,2.0,1.0,,,,4.0,,1.0,,,5.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,7.0,,,,,,,,,2.0,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,2.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92028,88
1371,1.0,,,1.0,,1.0,,,,,,,,2.0,,,2.0,,1.0,,,,,4.0,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,3.0,1.0,,2.0,,,,,2.0,1.0,1.0,,,2.0,1.0,,,,,,,,,2.0,,,,,1.0,,,1.0,1.0,,,4.0,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,4.0,2.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32159,95
1372,1.0,,1.0,1.0,,,,,,,,1.0,,4.0,,1.0,2.0,1.0,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,3.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,10.0,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,11.0,2.0,,,2.0,,1.0,2.0,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18974,102
1373,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,,9.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,2.0,4.0,,1.0,,2.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92129,94
1374,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,6.0,,7.0,1.0,,,1.0,2.0,,,,,2.0,,1.0,,1.0,,,,,,1.0,3.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,6.0,,,,,,2.0,,2.0,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,,,2.0,,,3.0,,1.0,,,,,,,7.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29407,93
